pms,property,study,viewport,run_number,success,abort_reason,abort_step,friction_score,total_clicks,domain_handoffs,page_count,form_fields_count,duration_ms,duration_seconds,study_a_attempts,captcha_encountered,inquiry_only,has_accelerated_checkout,ssl_valid,mobile_responsive
nightsbridge,Atlantic View,A,desktop,1,TRUE,,,14.0,8,1,2,0,43545,43.5,1,False,False,False,True,True
cloudbeds,The LINE Hotel,B,desktop,2,FALSE,CAPTCHA on homepage,homepage,0.0,0,0,1,0,6187,6.2,0,False,False,False,True,True
plekify,Simbavati,B,mobile,3,TRUE,,,4.5,4,0,1,0,72392,72.4,0,False,False,False,True,True
siteminder,Tremola-San Gottardo,B,desktop,2,TRUE,,,14.0,3,1,3,9,29674,29.7,0,False,False,False,True,True
siteminder,Ivy City Hotel,B,mobile,1,TRUE,,,14.0,3,1,3,9,26669,26.7,0,False,False,False,True,True
siteminder,Beach Waikiki Hostel,A,mobile,3,TRUE,,,6.0,0,1,2,0,14051,14.1,1,False,False,False,True,True
cloudbeds,Saltline Hotel,B,mobile,2,FALSE,Could not complete booking flow to payment page,study_b,0.0,1,1,4,0,222060,222.1,0,False,False,False,True,True
nightsbridge,Supertubes Guesthouse,A,desktop,3,FALSE,No availability found,study_a,10.5,10,0,1,0,103076,103.1,10,False,False,False,True,True
cloudbeds,Saltline Hotel,A,desktop,1,TRUE,,,9.5,3,1,3,0,45080,45.1,1,False,False,False,True,True
plekify,Simbavati,A,mobile,1,TRUE,,,0.0,3,0,1,0,41995,42.0,1,False,False,False,True,True
siteminder,Ivy City Hotel,B,desktop,2,TRUE,,,14.0,3,1,3,9,27962,28.0,0,False,False,False,True,True
siteminder,Nantucket Whale Inn,A,mobile,3,TRUE,,,6.5,0,1,3,0,14247,14.2,1,False,False,False,True,True
profitroom,Hotel Haffner,A,desktop,3,TRUE,,,6.5,0,1,3,0,21960,22.0,1,False,False,False,True,True
cloudbeds,Sea Esta Komodo,A,desktop,3,TRUE,,,3.5,3,0,1,0,19676,19.7,1,False,False,False,True,True
cloudbeds,Sea Esta Komodo,A,desktop,2,TRUE,,,3.5,3,0,1,0,19248,19.2,1,False,False,False,True,True
profitroom,The Three,B,desktop,1,TRUE,,,7.5,1,1,3,0,35428,35.4,0,False,False,False,True,True
profitroom,Hotel Haffner,A,desktop,2,TRUE,,,6.5,0,1,3,0,22212,22.2,1,False,False,False,True,True
plekify,Hemingways,A,mobile,1,FALSE,No availability found,study_a,0.5,0,0,1,0,34611,34.6,10,False,False,False,True,True
